slug	source_label	license	source_url	px
auditing-and-economics-research	Publisher:维普 cqvip (审计与经济研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/82021x/82021x.jpg	230x320
auditing-research	Publisher:维普 cqvip (审计研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/98204x/98204x.jpg	230x320
blood	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/a/af/Blood_%28journal%29_Cover_135%289%29.jpg	242x320
brookings-papers-on-economic-activity	Project MUSE (muse.jhu.edu)	fair-use cover thumbnail	https://muse.jhu.edu/journal/34	225x320
bulletin-of-chinese-academy-of-sciences	Publisher:维普 cqvip (中国科学院院刊)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/93827x/93827x.jpg	230x320
business-management-journal	Publisher:维普 cqvip (经济管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/92588x/92588x.jpg	230x320
ca-a-cancer-journal-for-clinicians	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/15424863-cover.jpg	243x320
cancer-cell	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/8/89/Cancer_Cell_%28journal%29.gif	245x320
cancer-discovery	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/d/d7/Cancer_Discover_%28journal%29_Cover_11%289%29.jpg	241x320
cell	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/d/d6/Cover_of_Cell_%28Scientific_journal%29.jpg	246x320
cell-host-and-microbe	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X19313128.jpg	246x320
cell-metabolism	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X15504131.jpg	246x320
cell-stem-cell	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/1/1f/Cell_Stem_Cell_%28journal_-_front_cover%29.gif	247x320
chem	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X24519294.jpg	246x320
chemical-reviews	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/5/59/Chemical_Reviews_cover.jpg	242x320
chemical-society-reviews	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/f/f4/ChemSocRevCover.jpg	244x320
china-accounting-review	Publisher:维普 cqvip (中国会计评论)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/88037x/88037x.jpg	230x320
china-economic-quarterly	Publisher:维普 cqvip (经济学季刊)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/84307x/84307x.jpg	230x320
china-economic-studies	Publisher:维普 cqvip (中国经济问题)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/90744x/90744x.jpg	230x320
china-industrial-economics	Publisher:维普 cqvip (中国工业经济)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/93800a/93800a.jpg	230x320
china-public-administration-review	Publisher:维普 cqvip (公共行政评论)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/89372x/89372x.jpg	230x320
china-rural-economy	Publisher:维普 cqvip (中国农村经济)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/94178x/94178x.jpg	230x320
china-rural-survey	Publisher:NCPSSD 国家哲学社会科学文献中心 (中国农村观察)	Publisher:ncpssd	https://ft.ncpssd.cn/image/get/qwcover/2026/2/83206X.jpg	237x320
china-soft-science	Publisher:维普 cqvip (中国软科学)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/91678a/91678a.jpg	230x320
chinese-journal-of-management	Publisher:维普 cqvip (管理学报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/87936x/87936x.jpg	230x320
chinese-journal-of-management-science	Publisher:维普 cqvip (中国管理科学)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95764a/95764a.jpg	230x320
chinese-public-administration	Publisher:维普 cqvip (中国行政管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/81961x/81961x.jpg	230x320
chinese-review-of-financial-studies	Publisher:NCPSSD 国家哲学社会科学文献中心 (金融评论)	Publisher:ncpssd	https://ft.ncpssd.cn/image/get/qwcover/2026/2/89604X.jpg	232x320
circulation	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/9/97/Circulation_%28journal%29_cover.gif	245x320
comparative-economic-and-social-systems	Publisher:NCPSSD 国家哲学社会科学文献中心 (经济社会体制比较)	Publisher:ncpssd	https://ft.ncpssd.cn/image/get/qwcover/2026/1/93736X.jpg	226x320
conservation-biology	Wiley media CDN	fair-use cover thumbnail	https://media.wiley.com/journal/15231739-cover.jpg	243x320
contemporary-accounting-research	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/19113846-cover.jpg	223x320
contemporary-economy-of-japan	Baidu Baike	fair-use thumbnail (Baidu Baike; cropped from cover-evolution montage)	https://bkimg.cdn.bcebos.com/pic/9d82d158ccbf6c818bf889beb33eb13532fa409c	240x320
contemporary-finance-and-economics	Publisher:维普 cqvip (当代财经)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96800x/96800x.jpg	230x320
criminology	Wiley media CDN	fair-use cover thumbnail	https://media.wiley.com/journal/17459125-cover.jpg	222x320
critical-inquiry	Critical Inquiry CDN (cloudfront)	fair-use cover thumbnail	https://d3qi0qp55mx5f5.cloudfront.net/criticalinquiry/uploads/large_issue/50_3_LARGE.jpg?mtime=1709233592	213x320
current-biology	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/f/ff/CurrentBiologyCoverVol17Iss24.jpg	244x320
demography	Duke UP (kc-usercontent)	fair-use cover thumbnail	https://assets-us-01.kc-usercontent.com/f7ca9afb-82c2-002a-a423-84e111d5b498/ff0f6643-3ac6-4228-af27-9508ff239527/DEM_new_pr.jpg	215x320
developmental-cell	Publisher:Elsevier	publisher cover thumbnail	https://ars.els-cdn.com/content/image/X15345807.jpg	246x320
diabetes-care	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/1/1c/Diabetes-Care-January-2012.gif	242x320
e-government	Publisher:维普 cqvip (电子政务)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/94368c/94368c.jpg	230x320
east-china-economic-management	Publisher:维普 cqvip (华东经济管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96459x/96459x.jpg	230x320
ecology-letters	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/b/b1/ELECover.gif	218x320
econometric-theory	static.cambridge.org	fair-use cover thumbnail	https://static.cambridge.org/covers/ECT_0_0_0/econometric_theory.jpg	213x320
econometrica	en.wikipedia	fair-use cover thumbnail	https://upload.wikimedia.org/wikipedia/en/0/03/Econometrica_cover_page.jpg	222x320
economic-aspects	Baidu Baike	fair-use thumbnail (Baidu Baike; cropped from cover-evolution montage)	https://bkimg.cdn.bcebos.com/pic/fd039245d688d43f0af19789721ed21b0ef43b74	230x320
economic-perspectives	newcnki.net (《经济学动态》2022-1)	fair-use cover thumbnail	https://www.newcnki.net/upload/image/202308/20/a058_1531b.jpg	237x320
economic-policy	OUP silverchair-cdn (Economic Policy cover)	fair-use cover thumbnail	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/economicpolicy/Issue/40/124/1/m_economicpolicy_40_124cover.jpeg?Expires=1783924540&Signature=RalXGt8qCLcpA0SDgouFLIWqPs6wwHuvg7YDNSKUS1gIpbGQLeUtaEoj99jmhZWIV7vNhi9GpUhLBEG2ZjAuHi9szEqgYWZdvvGmN6a~RLkQEIHtspsSmEYzhCaAfzkNnZEuj1iVGmGbFuo4KUEq2S166s0dF2sR~UZG8GZFzDgx~CFfb~VMWRzkROeUV2Nq1aoN2hhoRx3E0IiANFH5OMsEuIvwlGAfpDP2rrvnWgqMuBZOnCkPftyIC77AHgrvt0YwCnBMPkhkuWUN3RYKkiI5TdUtf2IBc9Ha0XGJn2kRf4TJSHxj7sAaPybDDh2XoQkAXxWeG2Dg7IoABuyhiA__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	221x320
economic-problems	Baidu Baike	fair-use thumbnail (Baidu Baike; cropped from cover-evolution montage)	https://bkimg.cdn.bcebos.com/pic/d6ca7bcb0a46f21feb0b8b28f9246b600c33ae8a	224x320
economic-research	Baidu Baike	fair-use thumbnail (Baidu Baike)	https://bkimg.cdn.bcebos.com/smart/8b13632762d0f70307752f2700fa513d2797c502-bkimg-process,v_1,rw_189,rh_261,maxl_523	231x320
economic-review-cn	Publisher:维普 cqvip (经济评论)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/82170x/82170x.jpg	230x320
economic-science	Baidu Baike	fair-use thumbnail (Baidu Baike; cropped from cover-evolution montage)	https://bkimg.cdn.bcebos.com/pic/8c1001e93901213f11a5bd6a5ae736d12e2e95f6	230x320
economic-theory-and-business-management	Publisher:维普 cqvip (经济理论与经济管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95590x/95590x.jpg	230x320
economist-cn	Publisher:维普 cqvip (经济学家)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/97161x/97161x.jpg	230x320
elife	Wikimedia Commons (eLife logo 2020)	CC logo	https://upload.wikimedia.org/wikipedia/commons/5/50/Elife-logo-2020.png	240x320
energy-and-environmental-science	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/9/97/EESfrontcover148.jpg	244x320
entrepreneurship-theory-and-practice	mysubs.in (SAGE cover)	fair-use cover thumbnail	https://mysubs.in/wp-content/uploads/entrepreneurship-theory-and-practice-journal-subscription-16-Dec-2019.png	220x320
environmental-science-and-technology	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/d/d7/Est_cover.jpg	241x320
european-economic-review	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X00142921.jpg	235x320
european-heart-journal	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/b/b3/European_Heart_Journal.gif	245x320
experimental-economics	Publisher:SpringerNature	publisher cover thumbnail	https://media.springernature.com/w316/springer-static/cover/journal/10683.jpg	211x320
field-crops-research	Elsevier ars.els-cdn	fair-use cover thumbnail	https://ars.els-cdn.com/content/image/X03784290.jpg	240x320
finance-and-economics	Publisher:维普 cqvip (财经科学)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96436x/96436x.jpg	230x320
finance-and-trade-economics	Publisher:维普 cqvip (财贸经济)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96197x/96197x.jpg	230x320
financial-management	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/1755053X-cover.jpg	244x320
financial-regulation-research	Publisher:维普 cqvip (金融监管研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/71702x/71702x.jpg	230x320
foreign-economics-and-management	Publisher:维普 cqvip (外国经济与管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95234x/95234x.jpg	230x320
forum-on-science-and-technology-in-china	Publisher:维普 cqvip (中国科技论坛)	Publisher:cqvip http://image.cqvip.com/vip1000/qkclearimg/91762x/91762x.jpg	/tmp/cov_91762x_big.png	230x320
frontiers-of-engineering-management-science-and-technology	Publisher:维普 cqvip (工程管理科技前沿)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95963a/95963a.jpg	230x320
games-and-economic-behavior	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X08998256.jpg	235x320
gastroenterology	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/0/01/Gastroenterology_%28journal%29.gif	240x320
genome-biology	Publisher:SpringerNature	publisher cover thumbnail	https://media.springernature.com/w316/springer-static/cover/journal/13059.jpg	225x320
global-change-biology	Wiley media CDN	fair-use cover thumbnail	https://media.wiley.com/journal/13652486-cover.jpg	243x320
global-environmental-change	Elsevier ars.els-cdn	fair-use cover thumbnail	https://ars.els-cdn.com/content/image/X09593780.jpg	240x320
governance-studies	Publisher:维普 cqvip (治理研究)	Publisher:cqvip http://image.cqvip.com/vip1000/qkclearimg/80561a/80561a.jpg	/tmp/cov_80561a_big.png	230x320
gut	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/8/8e/Gutjournalcover.gif	245x320
human-relations	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/1/12/Human_Relations_front_cover_image.jpg	214x320
human-resource-management	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/1099050X-cover.jpg	243x320
ieee-transactions-on-pattern-analysis-and-machine-intelligence	peeref.com (fair-use cover thumbnail)	fair-use cover thumbnail	https://peeref-open.s3.amazonaws.com/storage/images/covers/3411.jpg	229x320
imf-economic-review	Publisher:SpringerNature	publisher cover thumbnail	https://media.springernature.com/w316/springer-static/cover/journal/41308.jpg	224x320
immunity	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/a/af/Immunity_journal_cover.jpg	247x320
industrial-economics-research	Baidu Baike	fair-use thumbnail (Baidu Baike)	https://bkimg.cdn.bcebos.com/smart/37d12f2eb9389b5042bbbf918835e5dde6116ea8-bkimg-process,v_1,rw_189,rh_259,maxl_519	233x320
information-systems-research	en.wikipedia	fair-use cover thumbnail	https://upload.wikimedia.org/wikipedia/en/5/55/Cover_Information_Systems_Research.gif	250x320
informs-journal-on-computing	peeref.com (fair-use cover thumbnail)	fair-use cover thumbnail	https://peeref-open.s3.amazonaws.com/storage/images/covers/3576.jpg	219x320
inquiry-into-economic-issues	Publisher:维普 cqvip (经济问题探索)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95595x/95595x.jpg	230x320
international-economic-review	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/14682354-cover.jpg	244x320
international-economic-review-cn	Publisher:维普 cqvip (国际经济评论)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/90440x/90440x.jpg	230x320
international-economics-and-trade-research	Publisher:维普 cqvip (国际经贸探索)	Publisher:cqvip http://image.cqvip.com/vip1000/qkclearimg/97153x/97153x.jpg	/tmp/cov_97153x_big.png	230x320
international-organization	static.cambridge.org	fair-use cover thumbnail	https://static.cambridge.org/covers/INO_0_0_0/international_organization.jpg	213x320
inventiones-mathematicae	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/2/20/InventMath.jpg	320x320
issues-in-agricultural-economy	Publisher:维普 cqvip (农业经济问题)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96316x/96316x.jpg	230x320
jama	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/3/3f/JAMA_Cover_Image.png	240x320
joule	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X25424351.jpg	246x320
journal-of-accounting-and-economics	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X01654101.jpg	235x320
journal-of-accounting-research	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/1475679X-cover.jpg	216x320
journal-of-agrotechnical-economics	Publisher:维普 cqvip (农业技术经济)	Publisher:cqvip http://image.cqvip.com/vip1000/qkclearimg/90329x/90329x.jpg	/tmp/cov_90329x_big.png	230x320
journal-of-applied-econometrics	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/10991255-cover.jpg	243x320
journal-of-banking-and-finance	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/5/5c/Journal_of_Banking_and_Finance_cover.gif	238x320
journal-of-business-and-economic-statistics	peeref.com (fair-use cover thumbnail)	fair-use cover thumbnail	https://peeref-open.s3.amazonaws.com/storage/images/covers/4243.jpg	237x320
journal-of-business-economics	Publisher:维普 cqvip (商业经济与管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/94678x/94678x.jpg	230x320
journal-of-business-venturing	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X08839026.jpg	235x320
journal-of-central-university-of-finance-and-economics	Publisher:维普 cqvip (中央财经大学学报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96720a/96720a.jpg	230x320
journal-of-clinical-investigation	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/b/bc/Journal_of_Clinical_Investigation_sample_cover_image_%28August_2015%29.jpg	238x320
journal-of-clinical-oncology	Wikimedia Commons	CC (Commons)	https://upload.wikimedia.org/wikipedia/commons/6/6b/JCOSAMPLECOVER.jpg	240x320
journal-of-communication	OUP silverchair CDN	fair-use cover thumbnail	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/joc/Issue/75/5/2/m_jnlcom_75_5cover.jpeg?Expires=1836208196&Signature=ooOKUdsE8GNzr0PkurLWYNlrJCsdZDCTQMmX~dxDO~Iu3yvVy~ubtkw4LOY1p31UaBNGJkLOI8PlvEl9LuKW4yffUUePQL7WVoGV9~aNLi5pOZfDGE-gnAsvTR9FiNVl1MP4FE6XH8NGK4yz04Fj-rCdHx7L-q2RSN87ACdjKu~ZMPVUeAd3A1R91zzLsE7VMtPmVyR~fJ~eggc6bCTsRhmF6T5JVB~S1OQOC5zdZ7U200r7uu5JB7ehmG2x1U4dtgMH92nC3m4xG-BEBn8t6EpKyWGlKylnhXJJEQ6kzSXy1MD95K-ZFyIX3NbV7AW527nH6d-gbZc2o~7b~fNR3Q__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	224x320
journal-of-consumer-psychology	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/15327663-cover.jpg	243x320
journal-of-consumer-research	Publisher:Oxford (academic.oup.com/jcr)	publisher cover (fair-use)	https://academic.oup.com/jcr	242x320
journal-of-corporate-finance	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X09291199.jpg	234x320
journal-of-development-economics	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/0/0b/Journal_of_Development_Economics.gif	241x320
journal-of-econometrics	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X03044076.jpg	234x320
journal-of-economic-behavior-and-organization	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X01672681.jpg	234x320
journal-of-economic-geography	scholar9.com	fair-use cover thumbnail	https://scholar9.com/uploads/journalphotos/74dc45a78be058da5f51916b0248d062.jpeg	246x320
journal-of-economic-growth	Publisher:Springer	publisher cover (fair-use)	https://media.springernature.com/w580/springer-static/cover/journal/10887.jpg	210x320
journal-of-economic-literature	FIU Library (libapps S3)	fair-use cover thumbnail	https://s3.amazonaws.com/libapps/accounts/4266/images/journal_of_economic_literature.jpg	217x320
journal-of-economic-perspectives	Princeton Economics Dept	fair-use cover thumbnail	https://economics.princeton.edu/wp-content/uploads/2020/12/journalofeconomicperspectives.jpg	219x320
journal-of-economic-theory	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X00220531.jpg	235x320
journal-of-empirical-finance	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X09275398.jpg	218x320
journal-of-environmental-economics-and-management	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X00950696.jpg	234x320
journal-of-experimental-medicine	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/3/38/JEM_Sept_2010_cover.gif	247x320
journal-of-finance	Publisher:Wiley (media CDN)	publisher cover (fair-use)	https://media.wiley.com/journal/15406261-cover.jpg	222x320
journal-of-finance-and-economics	Publisher:维普 cqvip (财经研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96218x/96218x.jpg	230x320
journal-of-financial-and-quantitative-analysis	Publisher:Cambridge (cambridge.org)	publisher cover (fair-use)	https://static.cambridge.org/covers/JFQ_0_0_0/journal_of%20financial%20and%20quantitative%20analysis.jpg	226x320
journal-of-financial-economics	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X0304405X.jpg	240x320
journal-of-financial-intermediation	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X10429573.jpg	240x320
journal-of-financial-markets	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X13864181.jpg	235x320
journal-of-financial-research	Publisher:维普 cqvip (金融研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/97926x/97926x.jpg	230x320
journal-of-guangdong-university-of-finance-and-economics	Publisher:维普 cqvip (广东财经大学学报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/83089a/83089a.jpg	230x320
journal-of-health-economics	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X01676296.jpg	234x320
journal-of-human-resources	Publisher:UW Press (jhr.uwpress.org)	publisher cover (fair-use)	https://jhr.uwpress.org/content/current	214x320
journal-of-industrial-engineering-and-engineering-management	Publisher:维普 cqvip (管理工程学报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/97777x/97777x.jpg	230x320
journal-of-international-business-studies	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/1/1e/Jibs.gif	240x320
journal-of-international-economics	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X00221996.jpg	235x320
journal-of-international-money-and-finance	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X02615606.jpg	218x320
journal-of-international-trade	Publisher:维普 cqvip (国际贸易问题)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96001x/96001x.jpg	230x320
journal-of-jiangxi-university-of-finance-and-economics	Publisher:维普 cqvip (江西财经大学学报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/80754x/80754x.jpg	230x320
