venue_id	provider	source_key	issns	source_name	works	rule
jama-neurology	crossref	2168-6149	2168-6149	JAMA Neurology	4228	crossref-title
jama-oncology	crossref	2374-2437	2374-2437	JAMA Oncology	4850	crossref-title
jama-pediatrics	crossref	2168-6203	2168-6203	JAMA Pediatrics	5250	crossref-title
jama-psychiatry	crossref	2168-622X	2168-622X;2168-6238	JAMA Psychiatry	3540	crossref-title
jama-surgery	crossref	2168-6254	2168-6254	JAMA Surgery	5359	crossref-title
journal-of-allergy-and-clinical-immunology	crossref	0091-6749	0091-6749	Journal of Allergy and Clinical Immunology	56730	crossref-title
journal-of-clinical-endocrinology-and-metabolism	crossref	2998-9213	2998-9213	Journal of Clinical Endocrinology and Metabolism	5	crossref-title
journal-of-hepatology	crossref	0168-8278	0168-8278;0168-8278	Journal of Hepatology	57972	crossref-title
journal-of-the-american-society-of-nephrology	crossref	1046-6673	1046-6673;1533-3450	Journal of the American Society of Nephrology	34205	crossref-title
kidney-international	crossref	0085-2538	0085-2538;1523-1755	Kidney International	24849	crossref-title
nature-reviews-clinical-oncology	crossref	1759-4774	1759-4774;1759-4782	Nature Reviews Clinical Oncology	3361	crossref-title
radiology	crossref	0033-8419	0033-8419;1527-1315	Radiology	61586	crossref-title
stroke	crossref	0039-2499	0039-2499;1524-4628	Stroke	41791	crossref-title
acm-asia-conference-on-computer-and-communications-security	dblp	conf/asiaccs		ACM Asia Conference on Computer and Communications Security (AsiaCCS)	0	dblp-venue
acm-conference-on-computer-and-communications-security	dblp	conf/ccs		Annual ACM Conference on Computer and Communications Security (CCS)	0	dblp-generic-prefix
communication-research	crossref	0093-6502	0093-6502;1552-3810	Communication Research	2043	crossref-title
communications-earth-and-environment	crossref	2662-4435	2662-4435	Communications Earth & Environment	3912	crossref-title
communications-on-pure-and-applied-mathematics	crossref	0010-3640	0010-3640;1097-0312	Communications on Pure and Applied Mathematics	4311	crossref-title
ieee-journal-on-selected-areas-in-communications	crossref	0733-8716	0733-8716;1558-0008	IEEE Journal on Selected Areas in Communications	10319	crossref-title
ieee-transactions-on-communications	crossref	0090-6778	0090-6778;1558-0857	IEEE Transactions on Communications	18035	crossref-title
ieee-transactions-on-wireless-communications	crossref	1536-1276	1536-1276;1558-2248	IEEE Transactions on Wireless Communications	15323	crossref-title
journal-of-communication	crossref	0021-9916	0021-9916;1460-2466	Journal of Communication	5056	crossref-issn
nature-communications	crossref	2041-1723	2041-1723	Nature Communications	91714	crossref-title
new-media-and-society	crossref	1461-4448	1461-4448;1461-7315	New Media & Society	3892	crossref-issn
public-opinion-quarterly	crossref	0033-362X	0033-362X;1537-5331	Public Opinion Quarterly	7506	crossref-title
criminology	crossref	1745-9125	0011-1384;1745-9125	Criminology	2535	crossref-issn
aaai-conference-on-human-computation-and-crowdsourcing	dblp	conf/hcomp		AAAI Conference on Human Computation and Crowdsourcing (HCOMP)	0	dblp-venue
acm-conference-on-designing-interactive-systems	dblp	conf/ACMdis		Conference on Designing Interactive Systems (DIS)	0	dblp-core-name
acm-conference-on-fairness-accountability-and-transparency	dblp	conf/fat		ACM Conference on Fairness, Accountability and Transparency (FAccT)	0	dblp-venue
acm-conference-on-intelligent-user-interfaces	dblp	conf/iui		International Conference on Intelligent User Interfaces (IUI)	0	dblp-core-name
acm-conference-on-recommender-systems	dblp	conf/recsys		ACM Conference on Recommender Systems (RecSys)	0	dblp-venue
acm-ieee-international-conference-on-model-driven-engineering-languages-and-systems	dblp	conf/models		ACM/IEEE International Conference on Model Driven Engineering Languages and Systems (MoDELS)	0	dblp-venue
acm-international-conference-on-multimedia-retrieval	dblp	conf/mir		International Conference on Multimedia Retrieval (ICMR)	0	dblp-core-name
acm-international-joint-conference-on-pervasive-and-ubiquitous-computing	dblp	conf/huc		ACM International Joint Conference on Pervasive and Ubiquitous Computing (UbiComp)	0	dblp-venue
acm-international-symposium-on-high-performance-parallel-and-distributed-computing	dblp	conf/hpdc		International Symposium on High-Performance Parallel Distributed Computing (HPDC)	0	dblp-core-name
acm-sigaccess-conference-on-computers-and-accessibility	dblp	conf/assets		International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS)	0	dblp-generic-prefix
acm-sigir-conference-on-research-and-development-in-information-retrieval	dblp	conf/sigir		Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR)	0	dblp-generic-prefix
acm-sigmetrics	dblp	conf/sigmetrics		International Conference on Measurement and Modeling of Computer Systems (SIGMETRICS)	0	dblp-org-acronym
acm-sigplan-international-conference-on-functional-programming	dblp	conf/icfp		ACM SIGPLAN International Conference on Functional Programming (ICFP)	0	dblp-venue
acm-symposium-on-virtual-reality-software-and-technology	dblp	conf/vrst		ACM Symposium on Virtual Reality Software and Technology (VRST)	0	dblp-venue
acm-workshop-on-hot-topics-in-networks	dblp	conf/hotnets		ACM Workshop on Hot Topics in Networks (HotNets)	0	dblp-venue
annual-computer-security-applications-conference	dblp	conf/acsac		Annual Computer Security Applications Conference (ACSAC)	0	dblp-venue
artificial-intelligence-and-statistics	dblp	conf/aistats		International Conference on Artificial Intelligence and Statistics (AISTATS)	0	dblp-venue
asian-conference-on-computer-vision	dblp	conf/accv		Asian Conference on Computer Vision (ACCV)	0	dblp-venue
asian-conference-on-machine-learning	dblp	conf/acml		Asian Conference on Machine Learning (ACML)	0	dblp-venue
british-machine-vision-conference	dblp	conf/bmvc		British Machine Vision Conference (BMVC)	0	dblp-venue
conference-and-labs-of-the-evaluation-forum	dblp	conf/clef		Conference and Labs of the Evaluation Forum (CLEF)	0	dblp-venue
conference-on-computational-natural-language-learning	dblp	conf/conll		Conference on Computational Natural Language Learning (CoNLL)	0	dblp-venue
conference-on-health-inference-and-learning	dblp	conf/chil		Conference on Health, Inference, and Learning (CHIL)	0	dblp-venue
conference-on-lifelong-learning-agents	dblp	conf/collas		Conference on Lifelong Learning Agents (CoLLAs)	0	dblp-venue
european-symposium-on-research-in-computer-security	dblp	conf/esorics		European Symposium on Research in Computer Security (ESORICS)	0	dblp-venue
ieee-conference-on-virtual-reality-and-3d-user-interfaces	dblp	conf/vr		IEEE Conference on Virtual Reality and 3D User Interfaces (VR)	0	dblp-venue
ieee-international-conference-on-software-analysis-evolution-and-reengineering	dblp	conf/saner		IEEE International Conference on Software Analysis, Evolution, and Reengineering (SANER)	0	dblp-venue
ieee-international-requirements-engineering-conference	dblp	conf/re		IEEE International Requirements Engineering Conference (RE)	0	dblp-venue
ieee-international-symposium-on-biomedical-imaging	dblp	conf/isbi		IEEE International Symposium on Biomedical Imaging (ISBI)	0	dblp-venue
ieee-international-symposium-on-mixed-and-augmented-reality	dblp	conf/ismar		International Symposium on Mixed and Augmented Reality (ISMAR)	0	dblp-core-name
ieee-pacific-visualization-symposium	dblp	conf/pacificvis		IEEE Pacific Visualization Symposium (PacificVis)	0	dblp-venue
ieee-ras-international-conference-on-humanoid-robots	dblp	conf/humanoids		IEEE-RAS International Conference on Humanoid Robots (Humanoids)	0	dblp-venue
ieee-spoken-language-technology-workshop	dblp	conf/slt		Spoken Language Technology Workshop (SLT)	0	dblp-core-name
ieee-visualization-conference	dblp	conf/visualization		IEEE Visualization Conference (VIS)	0	dblp-venue
international-conference-for-high-performance-computing-networking-storage-and-analysis	dblp	conf/sc		International Conference for High Performance Computing, Networking, Storage and Analysis (SC)	0	dblp-venue
international-conference-on-3d-vision	dblp	conf/3dim		International Conference on 3D Vision (3DV)	0	dblp-venue
international-conference-on-automated-machine-learning	dblp	conf/automl		International Conference on Automated Machine Learning (AutoML)	0	dblp-venue
international-conference-on-automated-planning-and-scheduling	dblp	conf/icaps		International Conference on Automated Planning and Scheduling (ICAPS)	0	dblp-venue
international-conference-on-autonomous-agents-and-multiagent-systems	dblp	conf/ifaamas		International Conference on Autonomous Agents and Multiagent Systems (AAMAS)	0	dblp-venue
international-conference-on-computational-linguistics	dblp	conf/coling		International Conference on Computational Linguistics (COLING)	0	dblp-venue
international-conference-on-discovery-science	dblp	conf/dis		International Conference on Discovery Science (DS)	0	dblp-venue
international-conference-on-knowledge-capture	dblp	conf/kcap		International Conference on Knowledge Capture (K-CAP)	0	dblp-venue
international-conference-on-pattern-recognition	dblp	conf/icpr		International Conference on Pattern Recognition (ICPR)	0	dblp-venue
international-conference-on-principles-and-practice-of-constraint-programming	dblp	conf/cp		International Conference on Principles and Practice of Constraint Programming (CP)	0	dblp-venue
international-conference-on-principles-of-knowledge-representation-and-reasoning	dblp	conf/kr		International Conference on Principles of Knowledge Representation and Reasoning (KR)	0	dblp-venue
international-conference-on-theory-and-applications-of-satisfiability-testing	dblp	conf/sat		International Conference on Theory and Applications of Satisfiability Testing (SAT)	0	dblp-venue
international-symposium-on-distributed-autonomous-robotic-systems	dblp	conf/dars		International Symposium on Distributed Autonomous Robotic Systems (DARS)	0	dblp-venue
international-symposium-on-empirical-software-engineering-and-measurement	dblp	conf/esem		International Symposium on Empirical Software Engineering and Measurement (ESEM)	0	dblp-venue
international-symposium-on-experimental-robotics	dblp	conf/iser		International Symposium on Experimental Robotics (ISER)	0	dblp-venue
machine-learning-for-health	crossref	3049-477X	3049-477X	Machine Learning Health	54	crossref-title
medical-image-computing-and-computer-assisted-intervention	dblp	conf/miccai		International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI)	0	dblp-venue
mining-software-repositories	dblp	conf/msr		IEEE/ACM International Conference on Mining Software Repositories (MSR)	0	dblp-generic-prefix
neural-information-processing-systems	dblp	conf/nips		Conference on Neural Information Processing Systems (NeurIPS)	0	dblp-venue
siam-international-conference-on-data-mining	dblp	conf/sdm		SIAM International Conference on Data Mining (SDM)	0	dblp-venue
text-retrieval-conference	dblp	conf/trec		Text Retrieval Conference (TREC)	0	dblp-venue
usenix-annual-technical-conference	dblp	conf/usenix		USENIX Annual Technical Conference (USENIX ATC)	0	dblp-venue
acta-automatica-sinica	crossref	0254-4156	0254-4156	ACTA AUTOMATICA SINICA	1280	crossref-issn
chinese-journal-of-computers	crossref	0254-4164	0254-4164	Chinese Journal of Computers	1264	crossref-issn
journal-of-cad-and-computer-graphics	crossref	1003-9775	1003-9775	Journal of Computer-Aided Design & Computer Graphics	1465	crossref-issn
journal-of-computer-research-and-development	crossref	1000-1239	1000-1239	Journal of Computer Research and Development	920	crossref-issn
journal-of-software	crossref	1000-9825	1000-9825	Journal of Software	2168	crossref-issn
journal-on-communications	refused	-		Journal on Communications	0	refused: crossref:1796-2021 — ISSN mismatch: pack states ['1000-436X'], crossref candidate carries ['1796-2021', '2374-4367']
pattern-recognition-and-artificial-intelligence	crossref	1003-6059	1003-6059	Pattern Recognition and Artificial Intelligence	18	crossref-issn
scientia-sinica-informationis	crossref	1674-7267	1674-7267	Scientia Sinica Informationis	2381	crossref-title
aaai	dblp	conf/aaai		AAAI Conference on Artificial Intelligence (AAAI)	0	dblp-acronym
aamas	dblp	conf/ifaamas		International Conference on Autonomous Agents and Multiagent Systems (AAMAS)	0	dblp-acronym
acl	dblp	conf/acl		Annual Meeting of the Association for Computational Linguistics (ACL)	0	dblp-acronym
acm-ccs	dblp	conf/ccs		Annual ACM Conference on Computer and Communications Security (CCS)	0	dblp-org-acronym
acm-mm	dblp	conf/mm		ACM International Conference on Multimedia (MM)	0	dblp-org-acronym
ase	dblp	conf/kbse		International Conference on Automated Software Engineering (ASE)	0	dblp-acronym
asplos	dblp	conf/asplos		International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS)	0	dblp-acronym
cav	dblp	conf/cav		International Conference on Computer Aided Verification (CAV)	0	dblp-acronym
chi	dblp	conf/chi		ACM Conference on Human Factors in Computing Systems (CHI)	0	dblp-acronym
cikm	dblp	conf/cikm		International Conference on Information and Knowledge Management (CIKM)	0	dblp-acronym
colt	dblp	conf/colt		Annual Conference Computational Learning Theory (COLT)	0	dblp-acronym
corl	dblp	conf/corl		Conference on Robot Learning (CoRL)	0	dblp-acronym
cscw	dblp	conf/cscw		Conference on Computer-Supported Cooperative Work and Social Computing (CSCW)	0	dblp-acronym
cvpr	dblp	conf/cvpr		IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	0	dblp-acronym
dac	dblp	conf/dac		Design Automation Conference (DAC)	0	dblp-acronym
eacl	dblp	conf/eacl		Conference of the European Chapter of the Association for Computational Linguistics (EACL)	0	dblp-acronym
ecai	dblp	conf/ecai		European Conference on Artificial Intelligence (ECAI)	0	dblp-acronym
eccv	dblp	conf/eccv		European Conference on Computer Vision (ECCV)	0	dblp-acronym
edbt	dblp	conf/edbt		International Conference on Extending Database Technology (EDBT)	0	dblp-acronym
emnlp	dblp	conf/emnlp		Conference on Empirical Methods in Natural Language Processing (EMNLP)	0	dblp-acronym
eurosys	dblp	conf/eurosys		European Conference on Computer Systems (EuroSys)	0	dblp-acronym
facct	dblp	conf/fat		ACM Conference on Fairness, Accountability and Transparency (FAccT)	0	dblp-acronym
fast	dblp	conf/fast		USENIX Conference on File and Storage Technologies (FAST)	0	dblp-acronym
focs	dblp	conf/focs		IEEE Annual Symposium on Foundations of Computer Science (FOCS)	0	dblp-acronym
fse	dblp	conf/sigsoft		ACM SIGSOFT Conference on the Foundations of Software Engineering (FSE)	0	dblp-acronym
hpca	dblp	conf/cnhpca		High Performance Computing and Applications (HPCA)	0	dblp-acronym
hri	dblp	conf/hri		IEEE/ACM International Conference on Human-Robot Interaction (HRI)	0	dblp-acronym
icalp	dblp	conf/icalp		International Colloquium on Automata, Languages and Programming (ICALP)	0	dblp-acronym
icassp	dblp	conf/icassp		IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)	0	dblp-acronym
iccv	dblp	conf/iccv		IEEE/CVF International Conference on Computer Vision (ICCV)	0	dblp-acronym
icde	dblp	conf/icde		IEEE International Conference on Data Engineering (ICDE)	0	dblp-acronym
icdm	dblp	conf/icdm		IEEE International Conference on Data Mining (ICDM)	0	dblp-acronym
icdt	dblp	conf/icdt		International Conference on Database Theory (ICDT)	0	dblp-acronym
iclr	dblp	conf/iclr		International Conference on Learning Representations (ICLR)	0	dblp-acronym
icml	dblp	conf/icml		International Conference on Machine Learning (ICML)	0	dblp-acronym
icra	dblp	conf/icra		IEEE International Conference on Robotics and Automation (ICRA)	0	dblp-acronym
icse	dblp	conf/icse		International Conference on Software Engineering (ICSE)	0	dblp-acronym
icsme	dblp	conf/icsm		IEEE International Conference on Software Maintenance and Evolution (ICSME)	0	dblp-acronym
ieee-sp	dblp	conf/sp		IEEE Symposium on Security and Privacy (SP)	0	dblp-org-acronym
imc	dblp	conf/imc		ACM/SIGCOMM Internet Measurement Conference (IMC)	0	dblp-acronym
infocom	dblp	conf/infocom		IEEE Conference on Computer Communications (INFOCOM)	0	dblp-acronym
international-semantic-web-conference	dblp	conf/semweb		International Semantic Web Conference (ISWC)	0	dblp-venue
interspeech	dblp	conf/interspeech		Conference of the International Speech Communication Association (INTERSPEECH)	0	dblp-acronym
ipsn	dblp	conf/ipsn		International Symposium on Information Processing in Sensor Networks (IPSN)	0	dblp-acronym
iros	dblp	conf/iros		IEEE/RJS International Conference on Intelligent RObots and Systems (IROS)	0	dblp-acronym
isca	dblp	conf/isca		International Symposium on Computer Architecture (ISCA)	0	dblp-acronym
issta	dblp	conf/issta		International Symposium on Software Testing and Analysis (ISSTA)	0	dblp-acronym
kdd	dblp	conf/kdd		ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD)	0	dblp-acronym
micro	dblp	conf/micro		Annual IEEE/ACM International Symposium on Microarchitecture (MICRO)	0	dblp-acronym
mlsys	dblp	conf/mlsys		Conference on Machine Learning and Systems (MLSys)	0	dblp-acronym
mobicom	dblp	conf/mobicom		Annual International Conference on Mobile Computing and Networking (MobiCom)	0	dblp-acronym
mobisys	dblp	conf/mobisys		ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services (MobiSys)	0	dblp-acronym
naacl	dblp	conf/naacl		North American Chapter of the Association for Computational Linguistics (NAACL)	0	dblp-acronym
neurips	dblp	conf/nips		Conference on Neural Information Processing Systems (NeurIPS)	0	dblp-acronym
nsdi	dblp	conf/nsdi		Symposium on Networked Systems Design and Implementation (NSDI)	0	dblp-acronym
oopsla	dblp	conf/oopsla		ACM SIGPLAN International Conference on Object-Oriented Programming Systems, Languages, and Applications (OOPSLA)	0	dblp-acronym
percom	dblp	conf/percom		Annual IEEE International Conference on Pervasive Computing and Communications (PerCom)	0	dblp-acronym
podc	dblp	conf/podc		ACM Symposium on Principles of Distributed Computing (PODC)	0	dblp-acronym
ppopp	dblp	conf/ppopp		ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPoPP)	0	dblp-acronym
rss	dblp	conf/rss		Robotics: Science and Systems Conference (RSS)	0	dblp-acronym
sensys	dblp	conf/sensys		ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems (SenSys)	0	dblp-acronym
sigcomm	dblp	conf/sigcomm		ACM SIGCOMM Conference (SIGCOMM)	0	dblp-acronym
siggraph	dblp	conf/siggraph		International Conference on Computer Graphics and Interactive Techniques (SIGGRAPH)	0	dblp-acronym
sigmetrics	dblp	conf/sigmetrics		International Conference on Measurement and Modeling of Computer Systems (SIGMETRICS)	0	dblp-acronym
sigmod	dblp	conf/sigmod		ACM SIGMOD Conference (SIGMOD)	0	dblp-acronym
socc	dblp	conf/cloud		ACM Symposium on Cloud Computing (SoCC)	0	dblp-acronym
soda	dblp	conf/soda		ACM-SIAM Symposium on Discrete Algorithms (SODA)	0	dblp-acronym
sosp	dblp	conf/sosp		Symposium on Operating Systems Principles (SOSP)	0	dblp-acronym
stoc	dblp	conf/stoc		Symposium on the Theory of Computing (STOC)	0	dblp-acronym
tacas	dblp	conf/tacas		International Conference on Tools and Algorithms for Construction and Analysis of Systems (TACAS)	0	dblp-acronym
the-web-conference	dblp	conf/www		The Web Conference (WWW)	0	dblp-venue
uai	dblp	conf/uai		Conference on Uncertainty in Artificial Intelligence (UAI)	0	dblp-acronym
vldb	dblp	conf/vldb		Very Large Data Bases Conference (VLDB)	0	dblp-acronym
wacv	dblp	conf/wacv		IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)	0	dblp-acronym
wsdm	dblp	conf/wsdm		Web Search and Data Mining (WSDM)	0	dblp-acronym
demography	crossref	0070-3370	0070-3370;1533-7790	Demography	3873	crossref-title
population-and-development-review	crossref	1728-4457	0098-7921;1728-4457	Population and Development Review	4803	crossref-issn
world-development	crossref	0305-750X	0305-750X	World Development	9827	crossref-title
earth-and-planetary-science-letters	crossref	0012-821X	0012-821X;1385-013X	Earth and Planetary Science Letters	21770	crossref-issn
nature-geoscience	crossref	1752-0894	1752-0894;1752-0908	Nature Geoscience	4991	crossref-issn
econometric-theory	crossref	0266-4666	0266-4666;1469-4360	Econometric Theory	2654	crossref-title
econometrica	crossref	0012-9682	0012-9682;1468-0262	Econometrica	7307	crossref-issn
journal-of-applied-econometrics	crossref	0883-7252	0883-7252;1099-1255	Journal of Applied Econometrics	2611	crossref-issn
journal-of-business-and-economic-statistics	crossref	0735-0015	0735-0015;1537-2707	Journal of Business and Economic Statistics	3044	crossref-title
journal-of-econometrics	crossref	0304-4076	0304-4076;1872-6895	Journal of Econometrics	6466	crossref-title
the-econometrics-journal	crossref	1368-4221	1368-4221;1368-423X	Econometrics Journal	809	crossref-title
aer-insights	crossref	2640-205X	2640-205X;2640-2068	American Economic Review Insights	265	crossref-issn
annual-review-of-economics	crossref	1941-1383	1941-1383;1941-1391	Annual Review of Economics	494	crossref-title
european-economic-review	crossref	0014-2921	0014-2921	European Economic Review	6182	crossref-title
international-economic-review	crossref	0020-6598	0020-6598;1468-2354	International Economic Review	3579	crossref-title
journal-of-economic-literature	crossref	0022-0515	0022-0515;2328-8175	Journal of Economic Literature	1840	crossref-title
journal-of-economic-perspectives	crossref	0895-3309	0895-3309	Journal of Economic Perspectives	2342	crossref-issn
journal-of-political-economy	crossref	0022-3808	0022-3808;1537-534X	Journal of Political Economy	15822	crossref-issn
journal-of-the-european-economic-association	crossref	1542-4766	1542-4766;1542-4774	Journal of the European Economic Association	1706	crossref-issn
quantitative-economics	crossref	1759-7323	1759-7323;1759-7331	Quantitative Economics	617	crossref-issn
quarterly-journal-of-economics	crossref	0033-5533	0033-5533;1531-4650	The Quarterly Journal of Economics	6660	crossref-title
review-of-economic-studies	crossref	0034-6527	0034-6527;1467-937X	The Review of Economic Studies	4281	crossref-title
the-economic-journal	crossref	0013-0133	0013-0133;1468-0297	The Economic Journal	19702	crossref-issn
rand-journal-of-economics	crossref	0741-6261	0741-6261;1756-2171	The RAND Journal of Economics	1789	crossref-title
aej-applied-economics	crossref	1945-7782	1945-7782;1945-7790	American Economic Journal Applied Economics	843	crossref-issn
review-of-economics-and-statistics	crossref	0034-6535	0034-6535;1530-9142	The Review of Economics and Statistics	7616	crossref-title
journal-of-economic-behavior-and-organization	crossref	0167-2681	0167-2681;0167-2681	Journal of Economic Behavior & Organization	7844	crossref-title
journal-of-risk-and-uncertainty	crossref	0895-5646	0895-5646;1573-0476	Journal of Risk and Uncertainty	1027	crossref-title
journal-of-development-economics	crossref	0304-3878	0304-3878	Journal of Development Economics	4798	crossref-title
world-bank-economic-review	crossref	0258-6770	0258-6770;1564-698X	The World Bank Economic Review	1496	crossref-title
journal-of-environmental-economics-and-management	crossref	0095-0696	0095-0696;1096-0449	Journal of Environmental Economics and Management	3119	crossref-title
experimental-economics	crossref	1386-4157	1386-4157;1573-6938	Experimental Economics	931	crossref-title
journal-of-finance-and-economics	refused	-		Journal of Finance and Economics	0	refused: crossref:2328-7284 — Chinese-language venue matched on a translated name with no ISSN to corroborate it
games-and-economic-behavior	crossref	0899-8256	0899-8256;1090-2473	Games and Economic Behavior	4317	crossref-issn
journal-of-economic-geography	crossref	1468-2702	1468-2702;1468-2710	Journal of Economic Geography	1278	crossref-title
journal-of-economic-growth	crossref	1381-4338	1381-4338;1573-7020	Journal of Economic Growth	419	crossref-issn
journal-of-health-economics	crossref	0167-6296	0167-6296	Journal of Health Economics	3040	crossref-title
imf-economic-review	crossref	2041-4161	2041-4161;2041-417X	IMF Economic Review	477	crossref-title
journal-of-international-economics	crossref	0022-1996	0022-1996	Journal of International Economics	4213	crossref-issn
journal-of-world-economy	refused	-		Journal of World Economy	0	refused: crossref:2709-3999 — ISSN mismatch: pack states ['1002-9621'], crossref candidate carries ['2709-3999']
journal-of-human-resources	crossref	0022-166X	0022-166X;1548-8004	The Journal of Human Resources	2943	crossref-issn
journal-of-labor-economics	crossref	0734-306X	0734-306X;1537-5307	Journal of Labor Economics	1923	crossref-title
